GRAND PRIX_2015,DATE_2015,CAR_2015,PTS_2015,GRAND PRIX_2016,DATE_2016,CAR_2016,PTS_2016,GRAND PRIX_2017,DATE_2017,CAR_2017,PTS_2017,GRAND PRIX_2018,DATE_2018,CAR_2018,PTS_2018
Australia,2015,STR RENAULT,0,Australia,2016,TORO ROSSO FERRARI,1,Australia,2017,RED BULL RACING TAG HEUER,10,Australia,2018,RED BULL RACING TAG HEUER,8
Malaysia,2015,STR RENAULT,6,Bahrain,2016,TORO ROSSO FERRARI,8,China,2017,RED BULL RACING TAG HEUER,15,Bahrain,2018,RED BULL RACING TAG HEUER,0
China,2015,STR RENAULT,0,China,2016,TORO ROSSO FERRARI,4,Bahrain,2017,RED BULL RACING TAG HEUER,0,China,2018,RED BULL RACING TAG HEUER,10
Bahrain,2015,STR RENAULT,0,Russia,2016,TORO ROSSO FERRARI,0,Russia,2017,RED BULL RACING TAG HEUER,10,Azerbaijan,2018,RED BULL RACING TAG HEUER,0
Spain,2015,STR RENAULT,0,Spain,2016,RED BULL RACING TAG HEUER,25,Spain,2017,RED BULL RACING TAG HEUER,0,Spain,2018,RED BULL RACING TAG HEUER,15
Monaco,2015,STR RENAULT,0,Monaco,2016,RED BULL RACING TAG HEUER,0,Monaco,2017,RED BULL RACING TAG HEUER,10,Monaco,2018,RED BULL RACING TAG HEUER,2
Canada,2015,STR RENAULT,0,Canada,2016,RED BULL RACING TAG HEUER,12,Canada,2017,RED BULL RACING TAG HEUER,0,Canada,2018,RED BULL RACING TAG HEUER,15
Austria,2015,STR RENAULT,4,Europe,2016,RED BULL RACING TAG HEUER,4,Azerbaijan,2017,RED BULL RACING TAG HEUER,0,France,2018,RED BULL RACING TAG HEUER,18
Great Britain,2015,STR RENAULT,0,Austria,2016,RED BULL RACING TAG HEUER,18,Austria,2017,RED BULL RACING TAG HEUER,0,Austria,2018,RED BULL RACING TAG HEUER,25
Hungary,2015,STR RENAULT,12,Great Britain,2016,RED BULL RACING TAG HEUER,18,Great Britain,2017,RED BULL RACING TAG HEUER,12,Great Britain,2018,RED BULL RACING TAG HEUER,0
Belgium,2015,STR RENAULT,4,Hungary,2016,RED BULL RACING TAG HEUER,10,Hungary,2017,RED BULL RACING TAG HEUER,10,Germany,2018,RED BULL RACING TAG HEUER,12
Italy,2015,STR RENAULT,0,Germany,2016,RED BULL RACING TAG HEUER,15,Belgium,2017,RED BULL RACING TAG HEUER,0,Hungary,2018,RED BULL RACING TAG HEUER,0
Singapore,2015,STR RENAULT,4,Belgium,2016,RED BULL RACING TAG HEUER,0,Italy,2017,RED BULL RACING TAG HEUER,1,Belgium,2018,RED BULL RACING TAG HEUER,15
Japan,2015,STR RENAULT,2,Italy,2016,RED BULL RACING TAG HEUER,6,Singapore,2017,RED BULL RACING TAG HEUER,0,Italy,2018,RED BULL RACING TAG HEUER,10
Russia,2015,STR RENAULT,1,Singapore,2016,RED BULL RACING TAG HEUER,8,Malaysia,2017,RED BULL RACING TAG HEUER,25,Singapore,2018,RED BULL RACING TAG HEUER,18
United States,2015,STR RENAULT,12,Malaysia,2016,RED BULL RACING TAG HEUER,18,Japan,2017,RED BULL RACING TAG HEUER,18,Russia,2018,RED BULL RACING TAG HEUER,10
Mexico,2015,STR RENAULT,2,Japan,2016,RED BULL RACING TAG HEUER,18,United States,2017,RED BULL RACING TAG HEUER,12,Japan,2018,RED BULL RACING TAG HEUER,15
Brazil,2015,STR RENAULT,2,United States,2016,RED BULL RACING TAG HEUER,0,Mexico,2017,RED BULL RACING TAG HEUER,25,United States,2018,RED BULL RACING TAG HEUER,18
Abu Dhabi,2015,STR RENAULT,0,Mexico,2016,RED BULL RACING TAG HEUER,12,Brazil,2017,RED BULL RACING TAG HEUER,10,Mexico,2018,RED BULL RACING TAG HEUER,25
,,,,Brazil,2016,RED BULL RACING TAG HEUER,15,Abu Dhabi,2017,RED BULL RACING TAG HEUER,10,Brazil,2018,RED BULL RACING TAG HEUER,18
,,,,Abu Dhabi,2016,RED BULL RACING TAG HEUER,12,,,,,,,,
